Linux 6.6.87.2-microsoft-standard-WSL2 (DESKTOP-JQ32F5U) 	09/12/25 	_x86_64_	(16 CPU)

12:47:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:47:37     all   18.16    0.00    2.93    0.00    0.00    0.50    0.00    0.00    0.00   78.40
12:47:37       0   13.46    0.00    4.81    0.00    0.00    5.77    0.00    0.00    0.00   75.96
12:47:37       1   17.17    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   77.78
12:47:37       2   16.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
12:47:37       3   67.33    0.00   27.72    0.00    0.00    0.00    0.00    0.00    0.00    4.95
12:47:37       4   16.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
12:47:37       5   14.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
12:47:37       6   15.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   83.00
12:47:37       7   16.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   83.00
12:47:37       8   15.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
12:47:37       9   15.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
12:47:37      10   14.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
12:47:37      11   14.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   85.86
12:47:37      12   14.29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   85.71
12:47:37      13   12.75    0.00    1.96    0.00    0.00    0.98    0.00    0.00    0.00   84.31
12:47:37      14   15.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.85
12:47:37      15   15.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00

12:47:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:47:38     all    7.57    0.00    2.38    0.00    0.00    0.19    0.00    0.00    0.00   89.87
12:47:38       0    2.00    0.00    1.00    0.00    0.00    2.00    0.00    0.00    0.00   95.00
12:47:38       1    6.86    0.00    1.96    0.00    0.00    0.98    0.00    0.00    0.00   90.20
12:47:38       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:47:38       3   39.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   49.00
12:47:38       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:47:38       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:47:38       6    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
12:47:38       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:47:38       8    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:47:38       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:47:38      10    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
