timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2025/09/12 12:47:36.389, 0, 8 %, 34 %, 1375 MiB, 12282 MiB, 210 MHz, 7.97 W, 29
2025/09/12 12:47:37.406, 0, 9 %, 24 %, 1377 MiB, 12282 MiB, 210 MHz, 7.86 W, 29
2025/09/12 12:47:38.413, 0, 4 %, 19 %, 1369 MiB, 12282 MiB, 210 MHz, 8.47 W, 29
2025/09/12 12:47:39.431, 0, 4 %, 26 %, 1362 MiB, 12282 MiB, 210 MHz, 8.83 W, 29
2025/09/12 12:47:41.277, 0, 5 %, 23 %, 1358 MiB, 12282 MiB, 210 MHz, 8.44 W, 29
2025/09/12 12:47:42.284, 0, 14 %, 27 %, 1482 MiB, 12282 MiB, 2610 MHz, 8.02 W, 29
2025/09/12 12:47:43.287, 0, 0 %, 1 %, 1473 MiB, 12282 MiB, 2610 MHz, 30.25 W, 30
2025/09/12 12:47:44.291, 0, 0 %, 1 %, 1979 MiB, 12282 MiB, 2610 MHz, 31.31 W, 30
2025/09/12 12:47:45.295, 0, 0 %, 1 %, 1975 MiB, 12282 MiB, 2610 MHz, 31.50 W, 30
2025/09/12 12:47:46.299, 0, 7 %, 2 %, 2483 MiB, 12282 MiB, 2610 MHz, 31.60 W, 30
2025/09/12 12:47:47.303, 0, 0 %, 1 %, 2517 MiB, 12282 MiB, 2610 MHz, 30.34 W, 30
2025/09/12 12:47:48.306, 0, 0 %, 1 %, 2517 MiB, 12282 MiB, 765 MHz, 29.85 W, 30
2025/09/12 12:47:49.311, 0, 2 %, 11 %, 2709 MiB, 12282 MiB, 495 MHz, 15.92 W, 29
2025/09/12 12:47:50.316, 0, 3 %, 13 %, 2889 MiB, 12282 MiB, 435 MHz, 14.70 W, 29
2025/09/12 12:47:51.319, 0, 12 %, 29 %, 3053 MiB, 12282 MiB, 210 MHz, 11.42 W, 29
2025/09/12 12:47:52.322, 0, 4 %, 21 %, 3393 MiB, 12282 MiB, 330 MHz, 8.72 W, 29
2025/09/12 12:47:53.326, 0, 3 %, 23 %, 3389 MiB, 12282 MiB, 330 MHz, 8.35 W, 29
2025/09/12 12:47:54.330, 0, 28 %, 31 %, 3405 MiB, 12282 MiB, 210 MHz, 10.60 W, 29
2025/09/12 12:47:55.336, 0, 0 %, 1 %, 3405 MiB, 12282 MiB, 2610 MHz, 35.21 W, 30
2025/09/12 12:47:56.338, 0, 28 %, 19 %, 3408 MiB, 12282 MiB, 1995 MHz, 53.80 W, 37
2025/09/12 12:47:57.341, 0, 38 %, 28 %, 3408 MiB, 12282 MiB, 1890 MHz, 62.33 W, 34
2025/09/12 12:47:58.353, 0, 30 %, 22 %, 3408 MiB, 12282 MiB, 2160 MHz, 62.46 W, 33
2025/09/12 12:47:59.357, 0, 28 %, 20 %, 3404 MiB, 12282 MiB, 2445 MHz, 64.93 W, 37
2025/09/12 12:48:00.398, 0, 29 %, 21 %, 3404 MiB, 12282 MiB, 2445 MHz, 68.62 W, 33
2025/09/12 12:48:01.430, 0, 38 %, 25 %, 3404 MiB, 12282 MiB, 2145 MHz, 66.19 W, 33
2025/09/12 12:48:02.436, 0, 44 %, 28 %, 3404 MiB, 12282 MiB, 2220 MHz, 63.02 W, 33
2025/09/12 12:48:03.475, 0, 41 %, 28 %, 3404 MiB, 12282 MiB, 2295 MHz, 66.64 W, 39
2025/09/12 12:48:04.495, 0, 33 %, 14 %, 3404 MiB, 12282 MiB, 2520 MHz, 72.71 W, 43
2025/09/12 12:48:05.499, 0, 31 %, 12 %, 3404 MiB, 12282 MiB, 2130 MHz, 76.92 W, 43
2025/09/12 12:48:06.504, 0, 40 %, 29 %, 3415 MiB, 12282 MiB, 2115 MHz, 68.29 W, 34
2025/09/12 12:48:07.507, 0, 26 %, 16 %, 3415 MiB, 12282 MiB, 2295 MHz, 64.68 W, 34
2025/09/12 12:48:08.549, 0, 36 %, 23 %, 3428 MiB, 12282 MiB, 2295 MHz, 65.51 W, 39
2025/09/12 12:48:09.571, 0, 30 %, 21 %, 3428 MiB, 12282 MiB, 2160 MHz, 68.64 W, 34
2025/09/12 12:48:10.609, 0, 39 %, 27 %, 3422 MiB, 12282 MiB, 2205 MHz, 65.45 W, 35
2025/09/12 12:48:11.628, 0, 27 %, 19 %, 3418 MiB, 12282 MiB, 2445 MHz, 65.89 W, 42
2025/09/12 12:48:12.690, 0, 27 %, 11 %, 3418 MiB, 12282 MiB, 2595 MHz, 87.38 W, 41
2025/09/12 12:48:14.576, 0, 32 %, 15 %, 3407 MiB, 12282 MiB, 2820 MHz, 103.61 W, 37
2025/09/12 12:48:15.587, 0, 29 %, 12 %, 3407 MiB, 12282 MiB, 2475 MHz, 80.57 W, 38
2025/09/12 12:48:16.593, 0, 36 %, 16 %, 3407 MiB, 12282 MiB, 2475 MHz, 79.53 W, 36
2025/09/12 12:48:17.597, 0, 28 %, 19 %, 3407 MiB, 12282 MiB, 2250 MHz, 69.00 W, 38
2025/09/12 12:48:18.616, 0, 41 %, 28 %, 3407 MiB, 12282 MiB, 2175 MHz, 68.68 W, 34
2025/09/12 12:48:19.619, 0, 31 %, 22 %, 3407 MiB, 12282 MiB, 2370 MHz, 66.48 W, 38
2025/09/12 12:48:20.623, 0, 38 %, 26 %, 3407 MiB, 12282 MiB, 2400 MHz, 69.31 W, 44
2025/09/12 12:48:21.670, 0, 39 %, 16 %, 3407 MiB, 12282 MiB, 2520 MHz, 75.32 W, 36
2025/09/12 12:48:22.673, 0, 32 %, 14 %, 3407 MiB, 12282 MiB, 2145 MHz, 72.96 W, 41
2025/09/12 12:48:23.676, 0, 35 %, 22 %, 3407 MiB, 12282 MiB, 2325 MHz, 65.43 W, 35
2025/09/12 12:48:24.679, 0, 32 %, 15 %, 3407 MiB, 12282 MiB, 2730 MHz, 85.15 W, 39
2025/09/12 12:48:25.686, 0, 22 %, 9 %, 3407 MiB, 12282 MiB, 2520 MHz, 96.30 W, 41
2025/09/12 12:48:26.688, 0, 34 %, 14 %, 3407 MiB, 12282 MiB, 2655 MHz, 87.02 W, 45
2025/09/12 12:48:27.691, 0, 35 %, 14 %, 3407 MiB, 12282 MiB, 2370 MHz, 84.73 W, 37
2025/09/12 12:48:28.696, 0, 47 %, 33 %, 3407 MiB, 12282 MiB, 2595 MHz, 69.43 W, 36
2025/09/12 12:48:29.718, 0, 39 %, 17 %, 3407 MiB, 12282 MiB, 2670 MHz, 89.83 W, 38
2025/09/12 12:48:30.735, 0, 26 %, 11 %, 3407 MiB, 12282 MiB, 2460 MHz, 83.39 W, 37
2025/09/12 12:48:31.767, 0, 39 %, 16 %, 3407 MiB, 12282 MiB, 2670 MHz, 80.47 W, 39
2025/09/12 12:48:32.782, 0, 25 %, 11 %, 3407 MiB, 12282 MiB, 2700 MHz, 87.52 W, 37
2025/09/12 12:48:33.814, 0, 37 %, 16 %, 3407 MiB, 12282 MiB, 2550 MHz, 89.08 W, 37
2025/09/12 12:48:34.831, 0, 31 %, 12 %, 3407 MiB, 12282 MiB, 2490 MHz, 85.29 W, 42
