procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 14137320 656924 8217568    0    0     7    64    8    8  6  0 94  0  0
 2  0      0 13949412 656924 8219180    0    0     0     4 7483 10400 18  3 79  0  0
 1  0      0 13719908 656924 8219324    0    0     0     0 2958 2337  8  2 90  0  0
 2  0      0 13681716 656928 8219316    0    0     0   232 1199 1339  5  1 93  0  0
 4  0      0 13614580 656936 8219332    0    0     0   152 1276 1167  5  2 93  0  0
 4  0      0 13486036 656936 8275908    0    0     0     0 1218 1230  4  3 94  0  0
 3  0      0 13144352 656936 8295364    0    0     0     0 2077 1400  4  2 93  0  0
 2  0      0 13233028 656936 8295364    0    0     0     0 1971 1202  4  3 93  0  0
 2  0      0 12261068 656940 8295380    0    0     0    76 1414  733  1  6 93  0  0
 3  0      0 12396028 656940 8295376    0    0     0   124 1508  839  1  5 93  0  0
 1  0      0 13138796 656940 8301536    0    0     0     0 1439  883  3  1 96  0  0
 1  0      0 13138000 656940 8301552    0    0     0     0 2614 1945  4  3 93  0  0
 1  0      0 12845672 656940 8301596    0    0     0     0 2140 1246  5  2 93  0  0
 1  0      0 12244308 656944 8301592    0    0     0    64 1719  775  2  4 94  0  0
 1  0      0 11372640 656944 8301580    0    0     0    92 1543  697  1  6 93  0  0
 1  0      0 12968936 656944 8301600    0    0     0     0 1828 1007  3  3 93  0  0
 1  0      0 12966416 656944 8301604    0    0     0     0 2003 1189  6  1 93  0  0
 1  0      0 12823564 656944 8305708    0    0     0     0 2106 1357  6  2 93  0  0
 1  0      0 12795872 656948 8305716    0    0     0    80 1740  858  7  1 92  0  0
 1  0      0 12868532 656948 8307756    0    0     0   308 1605  783  6  0 93  0  0
 1  0      0 12866168 656948 8307768    0    0     0     0 1490  767  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12861316 656948 8307768    0    0     0     0 1945 1085  6  1 93  0  0
 1  0      0 12858068 656948 8307768    0    0     0     0 1795 1021  6  1 93  0  0
 1  0      0 12853532 656956 8307776    0    0     0    84 1618  795  6  1 93  0  0
 1  0      0 12852020 656956 8307776    0    0     0     0 1490  770  6  1 93  0  0
 1  0      0 12851768 656956 8307780    0    0     0   140 1357  660  6  0 94  0  0
 1  0      0 12851768 656956 8307788    0    0     0     0 1386  668  6  0 93  0  0
 1  0      0 12851768 656956 8307792    0    0     0     0 1314  777  6  0 93  0  0
 1  0      0 12851768 656964 8307792    0    0     0    36 1201  639  6  0 94  0  0
 1  0      0 12851768 656964 8307784    0    0     0     0 1194  661  6  0 93  0  0
 1  0      0 12851768 656964 8307784    0    0     0    52 1216  676  6  0 93  0  0
 1  0      0 12849752 656964 8307800    0    0     0     0 1208  646  6  0 94  0  0
 2  0      0 12849752 656964 8307804    0    0     0     0 1223  706  6  0 93  0  0
 1  0      0 12848996 656972 8307804    0    0     0    36 1258  690  6  0 93  0  0
 1  0      0 12872264 656972 8307812    0    0     0     0 2272 2966 13  1 86  0  0
 1  0      0 12870248 656976 8307808    0    0     0   128  808  810  6  1 93  0  0
 1  0      0 12870248 656976 8307804    0    0     0     0  792  812  6  0 93  0  0
 1  0      0 12870248 656976 8307812    0    0     0     0  682  621  6  0 94  0  0
 1  0      0 12870248 656984 8307828    0    0     0    64  746  694  6  0 93  0  0
 1  0      0 12870248 656984 8307836    0    0     0     0 1383  692  6  0 93  0  0
 1  0      0 12870248 656984 8307828    0    0     0    72 1297  598  6  0 93  0  0
 1  0      0 12869996 656984 8307844    0    0     0     0 1387  613  6  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12869744 656984 8307844    0    0     0     0 1419  688  6  0 93  0  0
 1  0      0 12869744 656988 8307832    0    0     0    48 1507  642  6  0 94  0  0
 1  0      0 12869744 656988 8307856    0    0     0     0 1511  699  6  0 93  0  0
 1  0      0 12869744 656988 8307860    0    0     0     0 1520  669  6  0 93  0  0
 1  0      0 12869744 656988 8307856    0    0     0    64 1545  667  6  0 94  0  0
 1  0      0 12869744 656988 8307864    0    0     0     0 1579  734  6  0 93  0  0
 1  0      0 12869744 656996 8307864    0    0     0    56 1450  673  6  0 93  0  0
 1  0      0 12869744 656996 8307868    0    0     0     0 1413  588  6  0 94  0  0
 1  0      0 12869744 656996 8307876    0    0     0     0 1353  670  6  0 93  0  0
 1  0      0 12869744 657000 8307884    0    0     0    64 1462  710  6  0 93  0  0
