<frozen runpy>:128: RuntimeWarning: 'abm.annotate.annotate_cli' found in sys.modules after import of package 'abm.annotate', but prior to execution of 'abm.annotate.annotate_cli'; this may result in unpredictable behaviour
09/12/2025 12:47:47 - INFO - 	 missing_keys: []
09/12/2025 12:47:47 - INFO - 	 unexpected_keys: []
09/12/2025 12:47:47 - INFO - 	 mismatched_keys: []
09/12/2025 12:47:47 - INFO - 	 error_msgs: []
09/12/2025 12:47:47 - INFO - 	 Model Parameters: 90.5M, Transformer: 82.1M, Coref head: 8.4M
/home/jon/repos/agent-audiobook-maker/.venv/lib/python3.11/site-packages/thinc/util.py:395: VisibleDeprecationWarning: This function is deprecated and will be removed in a future release. Use the cupy.from_dlpack() array constructor instead.
  dlpack_tensor = xp_tensor.toDlpack()  # type: ignore
09/12/2025 12:49:30 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:31 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:31 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:31 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:31 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:31 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:31 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:31 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:32 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:32 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:32 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:32 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:32 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:32 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:32 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:32 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:33 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:33 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:33 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:33 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:33 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:33 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:33 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:33 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:34 - INFO - 	 Tokenize 1 inputs...
09/12/2025 12:49:34 - INFO - 	 ***** Running Inference on 1 texts *****
09/12/2025 12:49:34 - INFO - 	 Tokenize 1 inputs...
