timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2025/09/12 13:23:06.009, 0, 10 %, 35 %, 1322 MiB, 12282 MiB, 210 MHz, 8.76 W, 29
2025/09/12 13:23:07.038, 0, 8 %, 27 %, 1329 MiB, 12282 MiB, 210 MHz, 8.85 W, 29
2025/09/12 13:23:08.044, 0, 10 %, 18 %, 1323 MiB, 12282 MiB, 210 MHz, 8.48 W, 29
2025/09/12 13:23:09.049, 0, 4 %, 22 %, 1316 MiB, 12282 MiB, 210 MHz, 7.95 W, 29
2025/09/12 13:23:10.053, 0, 4 %, 17 %, 1316 MiB, 12282 MiB, 210 MHz, 8.55 W, 29
2025/09/12 13:23:11.057, 0, 5 %, 18 %, 1295 MiB, 12282 MiB, 210 MHz, 9.20 W, 29
2025/09/12 13:23:12.063, 0, 4 %, 17 %, 1286 MiB, 12282 MiB, 210 MHz, 9.06 W, 29
2025/09/12 13:23:13.067, 0, 0 %, 1 %, 1287 MiB, 12282 MiB, 2610 MHz, 18.10 W, 30
2025/09/12 13:23:14.071, 0, 0 %, 1 %, 1287 MiB, 12282 MiB, 2610 MHz, 30.26 W, 30
2025/09/12 13:23:15.075, 0, 0 %, 1 %, 1293 MiB, 12282 MiB, 2610 MHz, 31.09 W, 30
2025/09/12 13:23:16.082, 0, 0 %, 1 %, 1293 MiB, 12282 MiB, 2610 MHz, 31.70 W, 31
2025/09/12 13:23:17.085, 0, 3 %, 9 %, 1292 MiB, 12282 MiB, 390 MHz, 21.20 W, 30
2025/09/12 13:23:18.089, 0, 2 %, 8 %, 1287 MiB, 12282 MiB, 240 MHz, 12.94 W, 30
2025/09/12 13:23:19.094, 0, 4 %, 28 %, 1288 MiB, 12282 MiB, 210 MHz, 8.14 W, 29
2025/09/12 13:23:20.099, 0, 7 %, 28 %, 1298 MiB, 12282 MiB, 210 MHz, 8.69 W, 29
2025/09/12 13:23:21.103, 0, 11 %, 33 %, 1318 MiB, 12282 MiB, 210 MHz, 8.95 W, 29
2025/09/12 13:23:22.107, 0, 7 %, 20 %, 1324 MiB, 12282 MiB, 210 MHz, 8.50 W, 29
2025/09/12 13:23:23.111, 0, 6 %, 23 %, 1324 MiB, 12282 MiB, 210 MHz, 7.75 W, 29
2025/09/12 13:23:24.114, 0, 3 %, 15 %, 1316 MiB, 12282 MiB, 210 MHz, 8.40 W, 29
2025/09/12 13:23:25.118, 0, 3 %, 17 %, 1316 MiB, 12282 MiB, 210 MHz, 9.13 W, 29
2025/09/12 13:23:26.123, 0, 4 %, 17 %, 1292 MiB, 12282 MiB, 210 MHz, 9.29 W, 29
2025/09/12 13:23:27.134, 0, 5 %, 16 %, 1302 MiB, 12282 MiB, 210 MHz, 8.53 W, 29
2025/09/12 13:23:28.140, 0, 11 %, 23 %, 1329 MiB, 12282 MiB, 210 MHz, 7.86 W, 29
2025/09/12 13:23:29.146, 0, 3 %, 24 %, 1329 MiB, 12282 MiB, 210 MHz, 8.11 W, 29
2025/09/12 13:23:30.153, 0, 3 %, 31 %, 1326 MiB, 12282 MiB, 210 MHz, 8.79 W, 29
2025/09/12 13:23:31.159, 0, 3 %, 30 %, 1319 MiB, 12282 MiB, 210 MHz, 8.75 W, 29
2025/09/12 13:23:32.165, 0, 8 %, 18 %, 1314 MiB, 12282 MiB, 210 MHz, 8.11 W, 29
2025/09/12 13:23:33.169, 0, 4 %, 17 %, 1294 MiB, 12282 MiB, 210 MHz, 8.06 W, 29
2025/09/12 13:23:34.175, 0, 3 %, 18 %, 1299 MiB, 12282 MiB, 210 MHz, 8.59 W, 29
2025/09/12 13:23:36.224, 0, 4 %, 18 %, 1299 MiB, 12282 MiB, 210 MHz, 9.24 W, 29
2025/09/12 13:23:37.241, 0, 3 %, 17 %, 1299 MiB, 12282 MiB, 210 MHz, 9.11 W, 29
2025/09/12 13:23:38.259, 0, 4 %, 17 %, 1296 MiB, 12282 MiB, 210 MHz, 8.43 W, 29
2025/09/12 13:23:39.276, 0, 5 %, 17 %, 1304 MiB, 12282 MiB, 210 MHz, 8.21 W, 29
2025/09/12 13:23:40.292, 0, 4 %, 36 %, 1304 MiB, 12282 MiB, 210 MHz, 8.53 W, 29
2025/09/12 13:23:41.298, 0, 3 %, 16 %, 1303 MiB, 12282 MiB, 210 MHz, 8.91 W, 29
2025/09/12 13:23:42.303, 0, 3 %, 17 %, 1303 MiB, 12282 MiB, 210 MHz, 9.02 W, 29
2025/09/12 13:23:43.309, 0, 3 %, 17 %, 1303 MiB, 12282 MiB, 210 MHz, 8.37 W, 29
2025/09/12 13:23:44.313, 0, 3 %, 17 %, 1291 MiB, 12282 MiB, 210 MHz, 8.23 W, 29
2025/09/12 13:23:45.318, 0, 4 %, 18 %, 1281 MiB, 12282 MiB, 210 MHz, 8.84 W, 29
2025/09/12 13:23:46.323, 0, 3 %, 17 %, 1281 MiB, 12282 MiB, 210 MHz, 9.32 W, 29
2025/09/12 13:23:47.327, 0, 3 %, 23 %, 1292 MiB, 12282 MiB, 210 MHz, 8.77 W, 29
2025/09/12 13:23:48.332, 0, 1 %, 1 %, 1305 MiB, 12282 MiB, 2610 MHz, 22.47 W, 30
2025/09/12 13:23:49.335, 0, 0 %, 1 %, 1334 MiB, 12282 MiB, 2610 MHz, 30.84 W, 30
2025/09/12 13:23:50.339, 0, 0 %, 1 %, 1332 MiB, 12282 MiB, 2610 MHz, 31.43 W, 31
2025/09/12 13:23:51.342, 0, 1 %, 6 %, 1317 MiB, 12282 MiB, 540 MHz, 29.69 W, 31
2025/09/12 13:23:52.346, 0, 5 %, 12 %, 1309 MiB, 12282 MiB, 345 MHz, 15.77 W, 30
