procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 13724784 659200 8400816    0    0     7    62   11   11  6  0 94  0  0
 2  0      0 13529776 659200 8402512    0    0     0     4 6283 10581 19  3 78  0  0
 2  0      0 13423180 659200 8402552    0    0     0     0 1537 1517  5  2 93  0  0
 3  0      0 13387648 659200 8402556    0    0     0    56 2145 1262  5  2 93  0  0
 2  0      0 13308020 659208 8402564    0    0     0     0 2098 1162  5  3 93  0  0
 2  0      0 13121644 659224 8402564    0    0     0   232 1730 1081  4  3 93  0  0
 1  0      0 13214552 659224 8402744    0    0   128     0 3419 2229  7  2 91  0  0
 0  0      0 13691896 659224 8402700    0    0     0     0 2325 1618  3  1 96  0  0
 2  0      0 13692160 659224 8402704    0    0     0   124 1092  753  0  0 100  0  0
 1  0      0 13690748 659224 8402704    0    0     0     0  948  787  1  0 99  0  0
 0  0      0 13690748 659228 8402700    0    0     0   124  765  697  0  0 100  0  0
 0  0      0 13690748 659228 8402708    0    0     0     4  958  844  0  0 100  0  0
 0  0      0 13693864 659228 8402720    0    0     0     0 1044  808  0  0 100  0  0
 0  0      0 13690868 659228 8402720    0    0     0     0 1187  802  1  0 99  0  0
 1  0      0 13732728 659228 8402716    0    0     0   136  995 1140  0  0 99  0  0
 0  1      0 13732224 659232 8402720    0    0     0    36 1181 1353  1  0 99  0  0
 0  0      0 13774612 659232 8402724    0    0     0     0 6024 9182  7  2 92  0  0
 0  0      0 13777116 659232 8402724    0    0     0     0 1071  848  0  0 100  0  0
 0  0      0 13776616 659232 8402740    0    0     0     0 1239  917  1  0 99  0  0
 0  0      0 13776616 659232 8402728    0    0     0    52  772  695  0  0 100  0  0
 0  0      0 13776616 659236 8402728    0    0     0    40  786  720  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13776616 659236 8402732    0    0     0     0  889  874  0  0 100  0  0
 4  0      0 13773600 659236 8402748    0    0     0     0 1279 1161  0  0 99  0  0
 0  0      0 13772380 659236 8402764    0    0     0     0 5134 7847  2  1 98  0  0
 0  0      0 13772128 659236 8402784    0    0     0    48 1014  862  0  0 100  0  0
 0  0      0 13772128 659240 8402788    0    0     0    72  929  784  0  0 100  0  0
 0  0      0 13772128 659240 8402780    0    0     0     0  701  627  0  0 100  0  0
